问题名称：C07_C08
运行次数	迭代次数	个体序号	目标1值	目标2值	是否可行	
1	0	0	1.88028e+11	1.88028e+11	0
1	0	1	2.54644e+11	2.54644e+11	0
1	0	2	3.86287e+11	3.86287e+11	0
1	0	3	2.31362e+11	2.31362e+11	0
1	0	4	3.0305e+11	3.0305e+11	0
1	0	5	4.14268e+11	4.14268e+11	0
1	0	6	3.46445e+11	3.46445e+11	0
1	0	7	3.69441e+11	3.69441e+11	0
1	0	8	2.53696e+11	2.53696e+11	0
1	0	9	2.59625e+11	2.59625e+11	0
1	0	10	4.30838e+11	4.30838e+11	0
1	0	11	1.75273e+11	1.75273e+11	0
1	0	12	4.38183e+11	4.38183e+11	0
1	0	13	1.09984e+11	1.09984e+11	0
1	0	14	2.1126e+11	2.1126e+11	0
1	0	15	3.55497e+11	3.55497e+11	0
1	0	16	1.26481e+11	1.26481e+11	0
1	0	17	4.91731e+11	4.91731e+11	0
1	0	18	3.14403e+11	3.14403e+11	0
1	0	19	1.84435e+11	1.84435e+11	1
1	0	20	2.94995e+11	2.94995e+11	0
1	0	21	3.37719e+11	3.37719e+11	1
1	0	22	3.79154e+11	3.79154e+11	0
1	0	23	1.76679e+11	1.76679e+11	0
1	0	24	2.00329e+11	2.00329e+11	0
1	0	25	2.43048e+11	2.43048e+11	0
1	0	26	3.49514e+11	3.49514e+11	0
1	0	27	2.7426e+11	2.7426e+11	0
1	0	28	2.47367e+11	2.47367e+11	0
1	0	29	2.58863e+11	2.58863e+11	0
1	0	30	2.05532e+11	2.05532e+11	0
1	0	31	1.12655e+11	1.12655e+11	0
1	0	32	1.1684e+11	1.1684e+11	0
1	0	33	2.00858e+11	2.00858e+11	0
1	0	34	2.99615e+11	2.99615e+11	0
1	0	35	4.45875e+11	4.45875e+11	0
1	0	36	2.8195e+11	2.8195e+11	0
1	0	37	2.80093e+11	2.80093e+11	0
1	0	38	3.03169e+11	3.03169e+11	0
1	0	39	2.34671e+11	2.34671e+11	0
1	0	40	2.04285e+11	2.04285e+11	0
1	0	41	3.09195e+11	3.09195e+11	1
1	0	42	1.39813e+11	1.39813e+11	0
1	0	43	2.4211e+11	2.4211e+11	0
1	0	44	2.65996e+11	2.65996e+11	0
1	0	45	2.28526e+11	2.28526e+11	0
1	0	46	2.8159e+11	2.8159e+11	0
1	0	47	2.85477e+11	2.85477e+11	0
1	0	48	2.05749e+11	2.05749e+11	0
1	0	49	2.41987e+11	2.41987e+11	0
